Option,Long-Run Change in GDP,Capital Stock,Full-Time Equivalent Jobs,Wage Rate,P20,P40-60,P80-100,P99,Static 10-Year Revenue (billions),Dynamic 10-Year Revenue (billions),Y to select,is_NS
2: Lower the Top Marginal Income Tax Rate (25% Top Rate),0.011,0.003,1033707,0.002,0.002,0.002,0.008,0.023,-2209.23,-1673.87,,False
"3: Consolidate Current Brackets into Three: 10 percent, 25 percent, and 35 percent",0.013,0.014,1336191,0.001,0.01,0.024,0.039,0.054,-2694.5,-2167.24,,False
8: Implement Neutral Cost Recovery for Structures,0.012,0.023,230766,0.01,0.011,0.011,0.015,0.021,-10.35,300.98,,False
9: Cancel the Amortization of Research and Development Expenses,0.001,0.002,19550,0.001,0.001,0.001,0.001,0.002,-131.3,-107.9,,False
11: Lower the Corporate Tax Rate (Lower to 15%),0.005,0.01,100937,0.004,0.012,0.011,0.017,0.026,-978.94,-847.71,,False
"52: Reform the EITC for Married and Unmarried Workers, with and without Children",0.001,0.001,96644,0.0,0.031,0.001,0.001,0.001,-164.04,-105.71,,False
"S1: Free, universal pre-kindergarten for all three- and four-year olds",0.009,0.0,0,0.0,0.0,0.0,0.0,0.0,-200.0,-200.0,,False
S2: Tuition-free two-year community college,0.011,0.0,0,0.0,0.0,0.0,0.0,0.0,-109.0,-109.0,,False
S3: Increase Pell Grants for low-income students,0.013,0.0,0,0.0,0.0,0.0,0.0,0.0,-80.0,-80.0,,False
S4: Increase funding for community colleges,0.002,0.0,0,0.0,0.0,0.0,0.0,0.0,-62.0,-62.0,,False
"S5: Two-years of subsidized tuition for students from families earning less than $125,000 enrolled in a four-year HBCU, TCU, or MSI",0.0005,0.0,0,0.0,0.0,0.0,0.0,0.0,-39.0,-39.0,,False
"S6: Train, equip, and diversify American teachers",0.0005,0.0,0,0.0,0.0,0.0,0.0,0.0,-9.0,-9.0,,False
"S7: Increase institutional aid grants to HBCUs, TCUs, and MSIs",0.005,0.0,0,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,,False
"S8: Make child care more affordable, invest in high-quality care, and fund training for child care providers",0.012,0.0,0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,,False
S9: Create a national comprehensive paid family and medical leave program,0.001,0.0,0,0.0,0.0,0.0,0.0,0.0,-225.0,-225.0,,False
S10: Expand summer Electronic Benefits Transfer to all eligible children nationwide,0.002,0.0,0,0.0,0.0,0.0,0.0,0.0,-25.0,-25.0,,False
S11: Expand free meals for children in the highest poverty districts,0.005,0.0,0,0.0,0.0,0.0,0.0,0.0,-17.0,-17.0,,False
S12: Facilitate re-entry for formerly incarcerated individuals through Supplemental Nutritional Assistance Program (SNAP) eligibility,0.0005,0.0,0,0.0,0.0,0.0,0.0,0.0,-10.0,-10.0,,False
S17: Cancel student loan debt relief (Biden executive action),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,400.0,400.0,,False
NS1B: Increase by 50% funds dedicated to Europe & NATO (including Ukraine),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-500.0,-500.0,,True
15: Repeal the Tax Cuts and Jobs Act (TCJA) Individual Tax Changes,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,829.72,648.75,,False
19: Eliminate the Child Tax Credit,0.001,0.001,99527,0.0005,-0.031,-0.008,0.001,0.001,890.72,917.22,,False
"24: Lower the Home Mortgage Interest Deduction Cap to $500,000 in Principal",-0.001,-0.019,-29557,-0.0005,-0.006,-0.009,-0.018,-0.011,147.51,132.22,,False
25: Eliminate the Charitable Deduction,-0.001,-0.002,-90202,-0.0005,-0.001,-0.002,-0.009,-0.014,747.4,694.52,,False
26: Limit Tax Savings from Itemized Deductions to 28 Percent of Value,-0.001,-0.001,-63819,-0.0005,-0.001,-0.001,-0.004,-0.011,212.96,184.19,,False
27: Eliminate the Tax Exclusion for Municipal Bond Interest,-0.0005,-0.0005,-11152,-0.0005,-0.0005,-0.0005,-0.003,-0.006,192.84,191.84,,False
31: Eliminate the Exclusion of Capital Gains on Principal Residences,-0.003,-0.004,-65000,-0.003,-0.003,-0.005,-0.009,-0.008,661.9,617.3,,False
33: Increase Employer- and Employee-side Payroll Tax by 1 Percentage Point Split (1 Percentage Point Split),-0.002,-0.002,-179965,0.0,-0.008,-0.01,-0.007,-0.003,672.66,563.43,,False
"35: Apply the Social Security Payroll Tax to Wages Above $400,000",-0.002,-0.002,-226014,0.0,-0.002,-0.002,-0.007,-0.021,822.79,686.04,,False
38: Eliminate the Section 199A Deduction,-0.0005,0.0,0,0.0005,0.0,0.0,0.0,0.0,208.23,200.28,,False
39: Require Amortization of Advertising Expenses over 10 Years,-0.001,-0.003,-18199,-0.001,-0.002,-0.002,-0.003,-0.005,226.5,206.4,,False
44: Return the Estate Tax to Clinton-era Levels,-0.002,-0.006,-41415,-0.002,-0.002,-0.002,-0.017,-0.055,887.4,823.9,,False
48: Increase the Gas Tax by 35 Cents Per Gallon and Inflation Adjust Going Forward,-0.001,-0.001,-103204,-0.005,-0.005,-0.004,-0.004,-0.003,758.34,653.12,,False
61: Permanently Eliminate the Pease Limitation on Itemized Deductions,0.001,0.001,77730,0.0005,0.001,0.001,0.004,0.01,-160.83,-125.58,,False
"63: Implement $2,500 per Year Roth-style Universal Savings Accounts",0.0,0.0005,748,0.0,0.0,0.0,0.0,0.0005,-15.08,-14.99,,False
65: Enact Full Expensing for All Capital Investment,0.023,0.043,441769,0.019,0.021,0.022,0.029,0.043,-1707.41,-1166.66,,False
66: Maintain Limitation on Interest Deductibility at 30 Percent of EBITDA,0.001,0.002,18832,0.001,0.001,0.001,0.001,0.001,-65.84,-45.9,,False
67: Eliminate Various Business Tax Expenditures,-0.002,-0.004,-33000,-0.002,-0.011,-0.01,-0.018,-0.031,985.6,926.43,,False
