Defense_Spending_B,GDP,Jobs,Revenue,Capital,Wage,P20,P40-60,P80-100,P99
-4000,0.10799999999999998,2534303.0,708.9700000000005,0.072,0.035,0.0855,0.0675,0.064,0.057499999999999996
-3500,0.10699999999999998,2451343.0,873.8200000000005,0.06999999999999999,0.03,0.0815,0.0635,0.061000000000000006,0.0545
-3000,0.10649999999999998,2444653.0,602.7199999999996,0.06949999999999999,0.0345,0.0835,0.059,0.058,0.048499999999999995
-2500,0.10549999999999998,2348139.0,612.3700000000001,0.06899999999999999,0.0255,0.0765,0.0595,0.057,0.0515
-2000,0.10449999999999998,2155446.0,618.3700000000001,0.067,0.0305,0.0785,0.0545,0.053000000000000005,0.033499999999999995
-1500,0.10349999999999998,2240290.0,627.0900000000008,0.0635,0.0235,0.0725,0.048999999999999995,0.048,0.0375
-1000,0.10249999999999998,2032475.0,606.7300000000007,0.0645,0.0245,0.0725,0.048999999999999995,0.044000000000000004,0.021499999999999995
-500,0.10200000000000001,1840976.0,640.1099999999997,0.022,0.035,0.065,-0.045,-0.055999999999999994,-0.045500000000000006
0,0.1005,1749401.0,948.36,0.018999999999999996,0.0295,0.060500000000000005,-0.049999999999999996,-0.061,-0.051500000000000004
500,0.0995,1731202.0,654.76,0.015999999999999997,0.0285,0.0585,-0.052,-0.064,-0.05650000000000001
1000,0.0995,1646197.0,601.4800000000004,0.017999999999999995,0.0245,0.05550000000000001,-0.054,-0.065,-0.05450000000000001
1500,0.097,1603413.0,604.47,0.011999999999999997,0.028,0.05550000000000001,-0.062,-0.073,-0.0625
2000,0.0965,1526204.0,1118.67,0.009999999999999998,0.0325,-0.07949999999999999,-0.076,-0.089,-0.0815
2500,0.0965,1526204.0,618.6700000000001,0.009999999999999998,0.0325,-0.07949999999999999,-0.076,-0.089,-0.0815
3000,0.0955,1526204.0,718.6700000000001,0.009999999999999998,0.0325,-0.07949999999999999,-0.076,-0.089,-0.0815
3500,0.0945,1456447.0,752.2400000000002,0.008999999999999998,0.0325,-0.08099999999999999,-0.08299999999999999,-0.09,-0.0835
4000,0.0935,1415404.0,612.7200000000004,0.005499999999999998,0.031,-0.08349999999999999,-0.086,-0.094,-0.08700000000000001
4500,0.093,1355162.0,648.4300000000003,0.0039999999999999975,0.027,-0.0865,-0.089,-0.096,-0.08950000000000001
5000,0.092,1261668.0,713.6100000000006,0.0049999999999999975,0.022,-0.0905,-0.092,-0.099,-0.09250000000000001
5500,0.09,1220751.0,634.5800000000004,0.0014999999999999974,0.0205,-0.0935,-0.095,-0.103,-0.098
6000,0.08800000000000001,1155866.0,660.5300000000001,-2.6020852139652106e-18,0.02,-0.094,-0.098,-0.112,-0.0985
